Batch,Cultivation batch,Strain,Certificate,Series,Date of issue,#,Parameter,Result,Document,Issued,Laboratory,Internal,Status
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,9.6,Pseudomonas aeruginosa,upon request — not required for release,—,—,—,,upon request — not required for release
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,9.6,Pseudomonas aeruginosa,upon request — not required for release,—,—,—,,upon request — not required for release
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,9.7,Staphylococcus aureus,upon request — not required for release,—,—,—,,upon request — not required for release
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,9.7,Staphylococcus aureus,upon request — not required for release,—,—,—,,upon request — not required for release
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,10.1,Aflatoxin B₁,not tested,—,—,—,,not tested — no certificate covers it
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,10.1,Aflatoxin B₁,ND,197-1-М/26,10.08.2026,Farmahem,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,10.2,Aflatoxins ∑,< 2,752/2025,27.02.2025,IPH — Institute of Public Health,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,10.2,Aflatoxins ∑,ND,197-1-М/26,10.08.2026,Farmahem,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,10.3,Ochratoxin A,not tested,—,—,—,,not tested — no certificate covers it
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,10.3,Ochratoxin A,ND,197-1-М/26,10.08.2026,Farmahem,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,11.1,Lead (Pb),0.01,752/2025,27.02.2025,IPH — Institute of Public Health,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,11.1,Lead (Pb),0.01,752/2025,27.02.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0002) — covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,11.2,Cadmium (Cd),0.016,752/2025,27.02.2025,IPH — Institute of Public Health,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,11.2,Cadmium (Cd),0.016,752/2025,27.02.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0002) — covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,11.3,Arsenic (As),0.014,752/2025,27.02.2025,IPH — Institute of Public Health,,covered
