Tranche,Release CoQ code,Issued,Superseded by (retest CoQ),Retest issued,Production batch (P lot),Cultivation batch,Strain,Product type,Grade,Product code,Potency window (%),Nominal ± tol (%),Total THC result (%),CBD (%),CBN (%),Potency certificate,Certificate issued,Laboratory,Internal CoA,Internal CoA issued,Retest Total THC (%),Retest potency certificate
1,CoQ-PP_26-011,06.06.2026,CoQ-PP_26-098,17.08.2026,P050052,HPA1024_01,High Pro Amnesia,SATIVA · THC · MACHINE TRIMMED,Grade I,HPA_THC22 : CBD1,19.80 – 24.19,22.00 ± 2.20,22.43,0.1,0.02 ᴰ,ППК25155,24.06.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-010,03.06.2026,21.61,197-14-К/26
1,CoQ-PP_26-012,06.06.2026,CoQ-PP_26-102,17.08.2026,P050062,OPM1024_02,Orange Punch Mimosa,INDICA · THC · MACHINE TRIMMED,Grade II,OPM_THC17 : CBD1,15.40 – 18.59,17.00 ± 1.60,18.27,0.05,0.02 ᴰ,ППК25154,24.06.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-011,03.06.2026,18.04,197-18-К/26
2,CoQ-PP_26-013,06.06.2026,CoQ-PP_26-117,18.09.2026,P050072,GP0824_03,Grape Pie,HYBRID · THC · MACHINE TRIMMED (INDICA-DOMINANT),Grade II,GP_THC24 : CBD1,22.00 – 25.99,24.00 ± 2.00,25.45,0.08,< LOQ ᴰ,ППК25175,10.07.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-012,03.06.2026,28.30,220-11-К/26
2,CoQ-PP_26-014,06.06.2026,CoQ-PP_26-130,18.09.2026,P050082,OPM1024_03,Orange Punch Mimosa,INDICA · THC · MACHINE TRIMMED,Grade II,OPM_THC17 : CBD1,15.40 – 18.59,17.00 ± 1.60,16.55,0.04,0.01 ᴰ,ППК25210,28.07.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-013,03.06.2026,19.30,220-23-К/26
1,CoQ-PP_26-015,06.06.2026,CoQ-PP_26-093,17.08.2026,P050092,GG1024_01,Gorilla Glue,INDICA · THC · MACHINE TRIMMED,Grade I,GG_THC18 : CBD1,16.23 – 19.76,18.00 ± 1.77,17.22,0.05,ND ᴰ,ППК25104,17.04.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-014,03.06.2026,18.67,197-9-К/26
3,CoQ-PP_26-016,06.06.2026,CoQ-PP_26-151,21.09.2026,P050102,GP0824_01,Grape Pie,HYBRID · THC · MACHINE TRIMMED (INDICA-DOMINANT),Grade III,GP_THC20 : CBD1,18.00 – 21.99,20.00 ± 2.00,20.79,0.06,—,ППК25105,17.04.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-015,03.06.2026,28.68,227-2-К/26
2,CoQ-PP_26-017,06.06.2026,CoQ-PP_26-127,18.09.2026,P050112,MB0824_05,Motor Breath,HYBRID · THC · MACHINE TRIMMED (INDICA-DOMINANT),Grade I,MB_THC18 : CBD1,16.20 – 19.79,18.00 ± 1.80,16.82,0.06,0.02 ᴰ,ППК25211,28.07.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-016,03.06.2026,17.93,220-20-К/26
3,CoQ-PP_26-018,06.06.2026,CoQ-PP_26-137,21.09.2026,P050122,BSS1024_01,Blue Sunset Sherbet,INDICA · THC · MACHINE TRIMMED,Grade II,BSS_THC24 : CBD1,21.89 – 26.10,24.00 ± 2.11,23.42,0.06,—,ППК25176,10.07.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-087,03.06.2026,26.10,227-29-К/26
3,CoQ-PP_26-019,06.06.2026,CoQ-PP_26-157,21.09.2026,P050132,OPM052501,Orange Punch Mimosa,INDICA · THC · MACHINE TRIMMED,Grade III,OPM_THC14 : CBD1,12.60 – 15.39,14.00 ± 1.40,14.16,0.04,—,ППК25257,05.09.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-017,03.06.2026,17.83,227-11-К/26
1,CoQ-PP_26-020,06.06.2026,CoQ-PP_26-094,17.08.2026,P050152,GP052501,Grape Pie,HYBRID · THC · MACHINE TRIMMED (INDICA-DOMINANT),Grade III,GP_THC20 : CBD1,18.00 – 21.99,20.00 ± 2.00,18.98,0.08,0.03 ᴰ,ППК25279,19.09.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-018,03.06.2026,18.52,197-10-К/26
