#	Production	CoQ doc. code (proposed)	Batch	P-Number	Strain	Product code	Round	1 — Macroscopic ID (Test A)	eCoA reference	2 — Microscopic ID (Test B)	eCoA reference	3 — HPTLC ID (Test C)	eCoA reference	4 — Total Δ⁹-THC (%)	Grade (v.02)	eCoA reference	5 — Total CBD (%)	eCoA reference	6 — Total CBN (%)	eCoA reference	7 — Foreign Matter (%)	eCoA reference	8 — Loss on Drying (%)	eCoA reference	9.1 — TAMC (CFU/g)	eCoA reference	9.2 — TYMC (CFU/g)	eCoA reference	9.3 — Bile-tol. gram-negative (CFU/g)	eCoA reference	9.4 — Salmonella	eCoA reference	9.5 — Escherichia coli	eCoA reference	10.1 — Aflatoxin B1 (µg/kg)	eCoA reference	10.2 — Total Aflatoxins (µg/kg)	eCoA reference	10.3 — Ochratoxin A (µg/kg)	eCoA reference	11.1 — Lead (Pb) (mg/kg)	eCoA reference	11.2 — Cadmium (Cd) (mg/kg)	eCoA reference	11.3 — Arsenic (As) (mg/kg)	eCoA reference	11.4 — Mercury (Hg) (mg/kg)	eCoA reference	12 — Pesticide Residues	eCoA reference
								A.C. Conforms to description		A.C. Conforms to description		A.C. Identity confirmed		A.C. Per target grade (QCSP 001 §01)			A.C. ≤ 1.0		A.C. ≤ 1.0		A.C. ≤ 2.0		A.C. ≤ 12.0		A.C. ≤ 10⁵		A.C. ≤ 10⁴		A.C. ≤ 10⁴		A.C. Absence /25 g		A.C. Absence /1 g		A.C. ≤ 2		A.C. ≤ 4		A.C. ≤ 20		A.C. ≤ 0.5		A.C. ≤ 0.3		A.C. ≤ 0.2		A.C. ≤ 0.1		A.C. ≤ LOQ (Ph. Eur. 2.8.13)	
38	2025-08	CoQ-PP-2026-0041	WC082501	P060012	Wedding Crasher	WC_THC22.5:CBD1	R1 · Jan–Feb 2026	Confirms	PP CoA #035, 20.02.2026, PP	Conforms	iCoA-PP-2026-0066 (proposed), 13.08.2026, PP	Confirms	ППК26001, 21.01.2026, CNP	21.67	Grade II, 20.00 – 25.00	ППК26001, 21.01.2026, CNP	0.08	ППК26001, 21.01.2026, CNP	Missing / not tested	—	Confirms	PP CoA #035, 20.02.2026, PP	7.50	ППК26001, 21.01.2026, CNP	10	3/0006/26, 20.01.2026, IPH	30	3/0006/26, 20.01.2026, IPH	<10	3/0006/26, 20.01.2026, IPH	Odgovara (Absent)	3/0006/26, 20.01.2026, IPH	<10	3/0006/26, 20.01.2026, IPH	Missing / not tested	—	<2	80/2026, 02.02.2026, IPH	Missing / not tested	—	Н.д.	80/2026, 02.02.2026, IPH	Н.д.	80/2026, 02.02.2026, IPH	Н.д.	80/2026, 02.02.2026, IPH	Н.д.	80/2026, 02.02.2026, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	80/2026, 02.02.2026, IPH
39	2025-09	CoQ-PP-2026-0037	AB092501	P060052	Apple and Banana	AB_THC17.5:CBD1	R1 · Jan–Feb 2026	Conforms	iCoA-PP-2026-0068 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0068 (proposed), 13.08.2026, PP	Missing / not tested	—	16.93	Grade III, 15.00 – 20.00	PP CoA #037 / ППК26005, 21.01.2026, CNP	0.07	PP CoA #037 / ППК26005, 21.01.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0067 (proposed), 13.08.2026, PP	6.77	PP CoA #037 / ППК26005, 21.01.2026, CNP	<10	7/0010/26, 20.01.2026, IPH	<10	7/0010/26, 20.01.2026, IPH	<10	7/0010/26, 20.01.2026, IPH	Odgovara (Absent)	7/0010/26, 20.01.2026, IPH	Odgovara (Absent)	7/0010/26, 20.01.2026, IPH	Missing / not tested	—	<2	84/2026, 02.02.2026, IPH	Missing / not tested	—	0.05	84/2026, 02.02.2026, IPH	Н.д.	84/2026, 02.02.2026, IPH	Н.д.	84/2026, 02.02.2026, IPH	0.003	84/2026, 02.02.2026, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	84/2026, 02.02.2026, IPH
40	2025-09	CoQ-PP-2026-0042	CJ092501	P060072	Cap Junky	CJ_THC22.5:CBD1	R1 · Jan–Feb 2026	Confirms	PP CoA #039, 20.02.2026, PP	Conforms	iCoA-PP-2026-0069 (proposed), 13.08.2026, PP	Confirms	ППК26007, 21.01.2026, CNP	22.30	Grade II, 19.75 – 25.25	ППК26007, 21.01.2026, CNP	0.10	ППК26007, 21.01.2026, CNP	Missing / not tested	—	Confirms	PP CoA #039, 20.02.2026, PP	7.64	ППК26007, 21.01.2026, CNP	<10	10/0013/26, 20.01.2026, IPH	<10	10/0013/26, 20.01.2026, IPH	<10	10/0013/26, 20.01.2026, IPH	Odgovara (Absent)	10/0013/26, 20.01.2026, IPH	<10	10/0013/26, 20.01.2026, IPH	Missing / not tested	—	<2	86/2026, 02.02.2026, IPH	Missing / not tested	—	0.04	86/2026, 02.02.2026, IPH	Н.д.	86/2026, 02.02.2026, IPH	Н.д.	86/2026, 02.02.2026, IPH	0.004	86/2026, 02.02.2026, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	86/2026, 02.02.2026, IPH
41	2025-09	CoQ-PP-2026-0038	GP092501	P060092	Grape Pie	GP_THC24:CBD1	R1 · Jan–Feb 2026	Confirms	PP CoA #033, 20.02.2020 [see source], PP	Conforms	iCoA-PP-2026-0070 (proposed), 13.08.2026, PP	Confirms	ППК26009, 21.01.2026, CNP	25.73	Grade II, 22.00 – 26.00	ППК26009, 21.01.2026, CNP	0.11	ППК26009, 21.01.2026, CNP	Missing / not tested	—	Confirms	PP CoA #033, —, PP	6.91	ППК26009, 21.01.2026, CNP	1 x 10^2	5/0008/26, 20.01.2026 [see source], IPH	<10	5/0008/26, 20.01.2026 [see source], IPH	< 10^2 and > 10	5/0008/26, 20.01.2026 [see source], IPH	Одговара (Complies/Absent)	5/0008/26, 20.01.2026 [see source], IPH	Одговара (Complies/Absent)	5/0008/26, 20.01.2026 [see source], IPH	Missing / not tested	—	<2	88/2026, 03.02.2026, IPH	Missing / not tested	—	0.022	88/2026, 03.02.2026, IPH	н.д.	88/2026, 03.02.2026, IPH	н.д.	88/2026, 03.02.2026, IPH	0.007	88/2026, 03.02.2026, IPH	Lindan (Gama HCH): н.д.; Aldrin: н.д.; Dieldrin и Aldrin (expressed as Dieldrin): н.д.; HCB: н.д.; 4,4' DDE: н.д.; 4,4' DDD: н.д.; 4,4' DDT: н.д.; вкупно DDT (total DDT): н.д.; delta HCH: н.д.; alpha HCH: н.д.; beta HCH: н.д.; Endrin: н.д.; Chlorpyrifos-methyl: н.д.; Chlorpyrifos: н.д.; Heptachlor (sum of Heptachlor + Heptachlor epoxide): н.д.; Endosulfan (alpha, beta and endosulfan sulfate): н.д.; Deltamethrin: н.д.; Chlordane (sum of cis- and trans-chlordane): н.д.; Metoxychlor: н.д.; Heptachlor epoxide: н.д.; Endrin aldehyde: н.д.; alpha Endosulfan: н.д.; beta Endosulfan: н.д.; Endrin keton: н.д.; trans-Chlordane: н.д.; cis-Chlordane: н.д.; Dieldrin: н.д.; Heptachlor: н.д.; Endosulfan sulfate: н.д.	88/2026, 03.02.2026, IPH
42	2025-09	CoQ-PP-2026-0043	OPM092501	P060042	Orange Punch Mimosa	OPM_THC10:CBD1	R1 · Jan–Feb 2026	Confirms	PP CoA #040, 20.02.2026, PP	Conforms	iCoA-PP-2026-0071 (proposed), 13.08.2026, PP	Confirms	ППК26008, 21.01.2026, CNP	9.43	Grade IV, 7.09 – 13.00	ППК26008, 21.01.2026, CNP	0.04	ППК26008, 21.01.2026, CNP	Missing / not tested	—	Confirms	PP CoA #040, 20.02.2026, PP	7.85	ППК26008, 21.01.2026, CNP	10	2/0005/26, 20.01.2026, IPH	10	2/0005/26, 20.01.2026, IPH	< 10^2 and > 10	2/0005/26, 20.01.2026, IPH	Odgovara (Absent)	2/0005/26, 20.01.2026, IPH	Odgovara (Absent)	2/0005/26, 20.01.2026, IPH	Missing / not tested	—	2.2	87/2026, 03.02.2026, IPH	Missing / not tested	—	0.022	87/2026, 03.02.2026, IPH	Н.д.	87/2026, 03.02.2026, IPH	Н.д.	87/2026, 03.02.2026, IPH	Н.д.	87/2026, 03.02.2026, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	87/2026, 03.02.2026, IPH
43	2025-09	CoQ-PP-2026-0044	PM092501	P060062	Permanent Marker	PM_THC16.5:CBD1 / PM_THC11.5:CBD1	R1 · Jan–Feb 2026	Confirms	PP CoA #036, 20.02.2026, PP	Conforms	iCoA-PP-2026-0072 (proposed), 13.08.2026, PP	Confirms	ППК26004, 21.01.2026, CNP	14.06	Grade III, 14.00 – 19.00	ППК26004, 21.01.2026, CNP	0.05	ППК26004, 21.01.2026, CNP	—	—	Confirms	PP CoA #036, 20.02.2026, PP	7.97	ППК26004, 21.01.2026, CNP	2×10^3	6/0009/26, 20.01.2026, IPH	2.2×10^3	6/0009/26, 20.01.2026, IPH	<10	6/0009/26, 20.01.2026, IPH	Odgovara (Absent)	6/0009/26, 20.01.2026, IPH	<10	6/0009/26, 20.01.2026, IPH	—	—	<2	83/2026, 02.02.2026, IPH	—	—	0.03	83/2026, 02.02.2026, IPH	Н.д.	83/2026, 02.02.2026, IPH	Н.д.	83/2026, 02.02.2026, IPH	Н.д.	83/2026, 02.02.2026, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	83/2026, 02.02.2026, IPH
		CoQ-PP-2026-0088					R2 · Aug 2026	—	—	—	—	—	—	12.25	Grade IV, 9.01 – 14.00	197-20-К/26, 07.08.2026, FARM	<LOQ %w/w	197-20-К/26, 07.08.2026, FARM	<LOQ %w/w	197-20-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND µg/kg (all four)	197-20-М/26, 10.08.2026, FARM	ND (all four not detected)	197-20-М/26, 10.08.2026, FARM	ND	197-20-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
44	2025-09	CoQ-PP-2026-0045	SJ092501	P060082	Sleepy Joy	SJ_THC10.5:CBD1	R1 · Jan–Feb 2026	Confirms	PP CoA #038, 20.02.2026, PP	Conforms	iCoA-PP-2026-0073 (proposed), 13.08.2026, PP	Confirms	ППК26006, 21.01.2026, CNP	10.96	Grade IV, 7.75 – 13.00	ППК26006, 21.01.2026, CNP	0.07	ППК26006, 21.01.2026, CNP	Missing / not tested	—	Confirms	PP CoA #038, 20.02.2026, PP	8.68	ППК26006, 21.01.2026, CNP	<10	9/0012/26, 20.01.2026, IPH	<10	9/0012/26, 20.01.2026, IPH	<10	9/0012/26, 20.01.2026, IPH	Odgovara (Absent)	9/0012/26, 20.01.2026, IPH	Odgovara (Absent)	9/0012/26, 20.01.2026, IPH	Missing / not tested	—	2	85/2026, 02.02.2026, IPH	Missing / not tested	—	0.08	85/2026, 02.02.2026, IPH	Н.д.	85/2026, 02.02.2026, IPH	Н.д.	85/2026, 02.02.2026, IPH	0.003	85/2026, 02.02.2026, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	85/2026, 02.02.2026, IPH
45	2025-10	CoQ-PP-2026-0046	GRC102501/2	P060182	Graps & Creme	GRC_THC12.5:CBD1	R1 · Mar 2026	Conforms	iCoA-PP-2026-0075 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0075 (proposed), 13.08.2026, PP	Missing / not tested	—	11.53	Grade IV, 10.00 – 15.00	051-6-K/26, 04.03.2026, FARM	< LOQ (<0.20%)	051-6-K/26, 04.03.2026, FARM	< LOQ	051-6-K/26, 04.03.2026, FARM	Conforms	iCoA-PP-2026-0074 (proposed), 13.08.2026, PP	7.7	051-6-GS/26, 02.03.2026, FARM	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
46	2025-10	CoQ-PP-2026-0047	J31102501	P060152	Jokerz 31	J31_THC20:CBD1	R1 · Mar 2026	Conforms	iCoA-PP-2026-0077 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0077 (proposed), 13.08.2026, PP	Missing / not tested	—	19.14	Grade II, 16.50 – 23.50	051-1-K/26, 04.03.2026, FARM	< LOQ (<0.20%)	051-1-K/26, 04.03.2026, FARM	< LOQ	051-1-K/26, 04.03.2026, FARM	Conforms	iCoA-PP-2026-0076 (proposed), 13.08.2026, PP	6.3	051-1-GS/26, 02.03.2026, FARM	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	—	—	—	—	—	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
		CoQ-PP-2026-0089					R2 · Aug 2026	—	—	—	—			17.32	Grade II, 16.50 – 23.50	197-16-К/26, 07.08.2026, FARM	<LOQ %w/w	197-16-К/26, 07.08.2026, FARM	<LOQ %w/w	197-16-К/26, 07.08.2026, FARM	—	—	—	—											ND	197-16-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four aflatoxins not detected)	197-16-М/26, 10.08.2026, FARM ; 197-16-М/26, 10.08.2026, FARM ; 197-16-М/26, 10.08.2026, FARM ; 197-16-М/26, 10.08.2026, FARM	ND	197-16-М/26, 10.08.2026, FARM										
47	2025-10	CoQ-PP-2026-0048	KC102501	P060172	Kush Crasher	KC_THC17.5:CBD1	R1 · Mar 2026	Conforms	iCoA-PP-2026-0079 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0079 (proposed), 13.08.2026, PP	Missing / not tested	—	17.04	Grade III, 15.00 – 20.00	051-4-K/26, 04.03.2026, FARM	< LOQ (<0.20%)	051-4-K/26, 04.03.2026, FARM	< LOQ	051-4-K/26, 04.03.2026, FARM	Conforms	iCoA-PP-2026-0078 (proposed), 13.08.2026, PP	8.6	051-4-GS/26, 02.03.2026, FARM	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
48	2025-10	CoQ-PP-2026-0049	SJ102501	P060162	Sleepy Joy	SJ_THC10.5:CBD1	R1 · Mar 2026	Conforms	iCoA-PP-2026-0081 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0081 (proposed), 13.08.2026, PP	Missing / not tested	—	11.20	Grade IV, 7.75 – 13.00	051-3-K/26, 04.03.2026, FARM	< LOQ (<0.20%)	051-3-K/26, 04.03.2026, FARM	< LOQ	051-3-K/26, 04.03.2026, FARM	Conforms	iCoA-PP-2026-0080 (proposed), 13.08.2026, PP	7.8	051-3-GS/26, 02.03.2026, FARM	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
49	2025-11	CoQ-PP-2026-0056	CC112501	P060272	Cash Cow	CC_THC13:CBD1	R1 · May 2026	Conforms	iCoA-PP-2026-0083 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0083 (proposed), 13.08.2026, PP	Missing / not tested	—	13.35	Grade IV, 10.50 – 15.50	ППК26068, 11.05.2026, CNP	0.04	ППК26068, 11.05.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0082 (proposed), 13.08.2026, PP	7.39	ППК26068, 11.05.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
50	2025-11	CoQ-PP-2026-0057	FB112501	P060292	Fat Bastard	FB_THC16.5:CBD1	R1 · May 2026	Conforms	iCoA-PP-2026-0085 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0085 (proposed), 13.08.2026, PP	Missing / not tested	—	16.69	Grade III, 13.68 – 19.25	ППК26066, 11.05.2026, CNP	0.05	ППК26066, 11.05.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0084 (proposed), 13.08.2026, PP	6.09	ППК26066, 11.05.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
51	2025-11	CoQ-PP-2026-0058	GG112501	P060252	Gorilla Glue	GG_THC15:CBD1	R1 · May 2026	Conforms	iCoA-PP-2026-0087 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0087 (proposed), 13.08.2026, PP	Missing / not tested	—	17.94	Grade III, 12.34 – 18.00	ППК26061, 11.05.2026, CNP	0.08	ППК26061, 11.05.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0086 (proposed), 13.08.2026, PP	6.31	ППК26061, 11.05.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
52	2025-11	CoQ-PP-2026-0053	J31112501	P060202	Jokerz 31	J31_THC27:CBD1 / J31_THC20:CBD1	R1 · Mar–Apr 2026	Conforms	iCoA-PP-2026-0089 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0089 (proposed), 13.08.2026, PP	Missing / not tested	—	25.27 ; 20.21	Grade I, 23.50 – 30.00 ; Grade II, 16.50 – 23.50	051-5-K/26, 04.03.2026, FARM ; 100-1-K/26, 09.04.2026, FARM	< LOQ (<0.20%) ; < LOQ (<0.20%)	051-5-K/26, 04.03.2026, FARM ; 100-1-K/26, 09.04.2026, FARM	< LOQ ; < LOQ	051-5-K/26, 04.03.2026, FARM ; 100-1-K/26, 09.04.2026, FARM	Conforms	iCoA-PP-2026-0088 (proposed), 13.08.2026, PP	8.4 ; 7.6	051-5-GS/26, 02.03.2026, FARM ; 100-1-GS/26, 09.04.2026, FARM	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
53	2025-11	CoQ-PP-2026-0059	JD112501	P060212	Jelly Donutz	JD_THC20:CBD1 / JD_THC15:CBD1	R1 · May 2026	Conforms	iCoA-PP-2026-0091 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0091 (proposed), 13.08.2026, PP	Missing / not tested	—	19.64 ; 13.93	Grade III, 18.00 – 22.00 ; Grade IV, 12.50 – 18.00	ППК26063, 11.05.2026, CNP ; ППК26065, 11.05.2026, CNP	0.06 ; 0.04	ППК26063, 11.05.2026, CNP ; ППК26065, 11.05.2026, CNP	—	—	Conforms	iCoA-PP-2026-0090 (proposed), 13.08.2026, PP	6.69 ; 6.38	ППК26063, 11.05.2026, CNP ; ППК26065, 11.05.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	—	—	—	—	—	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
		CoQ-PP-2026-0090					R2 · Aug 2026	—	—	—	—			20.32	Grade III, 18.00 – 22.00	197-15-К/26, 07.08.2026, FARM	<LOQ %w/w	197-15-К/26, 07.08.2026, FARM	<LOQ %w/w	197-15-К/26, 07.08.2026, FARM	—	—	—	—											ND	197-15-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four aflatoxins not detected)	197-15-М/26, 10.08.2026, FARM ; 197-15-М/26, 10.08.2026, FARM ; 197-15-М/26, 10.08.2026, FARM ; 197-15-М/26, 10.08.2026, FARM	ND	197-15-М/26, 10.08.2026, FARM										
