code	cu	p	strain	dir	series	tested	packaging	issued	conforms	path
iCoA-PP_26-099	GP082501/2	P050322	Grape Pie	RETEST	retest 1	23.07.2026	26.12.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-099_P050322_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-100	HPA1024	N/A — no P batch assigned	High Pro Amnesia	RETEST	retest 1	23.07.2026	11.04.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-100_HPA1024_HPA_High_Pro_Amnesia_Retest_1.html
iCoA-PP_26-101	HPA1024_01	P050052	High Pro Amnesia	RETEST	retest 1	23.07.2026	27.06.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-101_P050052_HPA_High_Pro_Amnesia_Retest_1.html
iCoA-PP_26-102	J31102501	P060152	Jokerz 31	RETEST	retest 1	23.07.2026	05.03.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-102_P060152_J31_Jokerz_31_Retest_1.html
iCoA-PP_26-103	JD112501	P060212	Jelly Donuts	RETEST	retest 1	23.07.2026	21.04.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-103_P060212_JD_Jelly_Donuts_Retest_1.html
iCoA-PP_26-104	OPM1024	N/A — no P batch assigned	Orange Punch Mimosa	RETEST	retest 1	24.07.2026	24.04.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-104_OPM1024_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-105	OPM1024_02	P050062	Orange Punch Mimosa	RETEST	retest 1	24.07.2026	04.07.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-105_P050062_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-106	OPM122501	P060242	Orange Punch Mimosa	RETEST	retest 1	24.07.2026	28.04.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-106_P060242_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-107	SCR012603	P060382	Scrambler	RETEST	retest 1	24.07.2026	25.05.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-107_P060382_SCR_Scrambler_Retest_1.html
iCoA-PP_26-108	PM092501	P060062	Permanent Marker	RETEST	retest 1	24.07.2026	30.01.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-108_P060062_PM_Permanent_Marker_Retest_1.html
iCoA-PP_26-109	JD022601	P060482	Jelly Donuts	INITIAL	initial release	05.08.2026	05.08.2026	05.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-109_P060482_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-110	JD042601	P060492	Jelly Donuts	INITIAL	initial release	13.08.2026	13.08.2026	13.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-110_P060492_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-111	ACC102501	P060122	Amnesia Core Cut	RETEST	retest 1	12.08.2026	18.02.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-111_P060122_ACC_Amnesia_Core_Cut_Retest_1.html
iCoA-PP_26-112	BSS052501	P050192	Blue Sunset Sherbet	RETEST	retest 1	12.08.2026	10.10.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-112_P050192_BSS_Blue_Sunset_Sherbet_Retest_1.html
iCoA-PP_26-113	CF102501	P060132	Chem Flyer	RETEST	retest 1	12.08.2026	19.02.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-113_P060132_CF_Chem_Flyer_Retest_1.html
iCoA-PP_26-114	CJ062501/1	P050222	Cap Junky	RETEST	retest 2	12.08.2026	24.11.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-114_P050222_CJ_Cap_Junky_Retest_2.html
iCoA-PP_26-115	CJ082501/1	P060022	Cap Junky	RETEST	retest 1	12.08.2026	16.01.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-115_P060022_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-116	CJ092501	P060072	Cap Junky	RETEST	retest 1	12.08.2026	02.02.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-116_P060072_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-117	CLE072501	P050282	Clemosa A Bud	RETEST	retest 1	12.08.2026	03.12.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-117_P050282_CLE_Clemosa_A_Bud_Retest_1.html
iCoA-PP_26-118	FB012601_1	P060322	Fat Bastard	RETEST	retest 1	12.08.2026	22.05.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-118_P060322_FB_Fat_Bastard_Retest_1.html
iCoA-PP_26-119	GG1024	N/A — no P batch assigned	Gorilla Glue	RETEST	retest 1	12.08.2026	11.03.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-119_GG1024_GG_Gorilla_Glue_Retest_1.html
iCoA-PP_26-120	GP072501/2	P050302	Grape Pie	RETEST	retest 1	12.08.2026	22.12.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-120_P050302_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-121	GP0824_03	P050072	Grape Pie	RETEST	retest 4	12.08.2026	14.07.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-121_P050072_GP_Grape_Pie_Retest_4.html
iCoA-PP_26-122	GP082501/1	P050312	Grape Pie	RETEST	retest 1	13.08.2026	23.12.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-122_P050312_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-123	GP092501	P060092	Grape Pie	RETEST	retest 1	13.08.2026	03.02.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-123_P060092_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-124	GRC102501	P060182	Grapes And Cream	RETEST	retest 2	13.08.2026	14.03.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-124_P060182_GAC_Grapes_And_Cream_Retest_2.html
iCoA-PP_26-125	HPA052501	P050182	High Pro Amnesia	RETEST	retest 1	13.08.2026	03.10.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-125_P050182_HPA_High_Pro_Amnesia_Retest_1.html
iCoA-PP_26-126	JD012603	P060412	Jelly Donuts	RETEST	retest 1	13.08.2026	24.05.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-126_P060412_JD_Jelly_Donuts_Retest_1.html
iCoA-PP_26-127	JD012603	P060422	Jelly Donuts	RETEST	retest 1	13.08.2026	23.05.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-127_P060422_JD_Jelly_Donuts_Retest_1.html
iCoA-PP_26-128	JD012603	P060362	Jelly Donuts	RETEST	retest 1	13.08.2026	23.05.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-128_P060362_JD_Jelly_Donuts_Retest_1.html
iCoA-PP_26-129	KC102501	P060172	Kush Crasher	RETEST	retest 1	13.08.2026	12.03.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-129_P060172_KC_Kush_Crasher_Retest_1.html
iCoA-PP_26-130	MB0824_05	P050112	Motor Breath	RETEST	retest 1	13.08.2026	25.08.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-130_P050112_MB_Motor_Breath_Retest_1.html
iCoA-PP_26-131	OPM092501	P060042	Orange Punch Mimosa	RETEST	retest 1	13.08.2026	29.01.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-131_P060042_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-132	OMP1024_01	P050042	Orange Punch Mimosa	RETEST	retest 2	13.08.2026	20.06.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-132_P050042_OPM_Orange_Punch_Mimosa_Retest_2.html
iCoA-PP_26-133	CC012603	P060372	Cash Cow	RETEST	retest 1	14.08.2026	24.05.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-133_P060372_CC_Cash_Cow_Retest_1.html
iCoA-PP_26-134	CC042601	N/A — no P batch assigned	Cash Cow	RETEST	retest 1	14.08.2026		17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-134_CC042601_CC_Cash_Cow_Retest_1.html
iCoA-PP_26-135	FB042601	N/A — no P batch assigned	Fat Bastard	RETEST	retest 1	14.08.2026		17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-135_FB042601_FB_Fat_Bastard_Retest_1.html
iCoA-PP_26-136	JD042601	P060492	Jelly Donuts	RETEST	retest 1	14.08.2026	13.08.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-136_P060492_JD_Jelly_Donuts_Retest_1.html
iCoA-PP_26-137	OPM1024_03	P050082	Orange Punch Mimosa	RETEST	retest 1	14.08.2026	22.07.2025	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-137_P050082_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-138	PM112501	P060232	Permanent Marker	RETEST	retest 1	14.08.2026	27.04.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-138_P060232_PM_Permanent_Marker_Retest_1.html
iCoA-PP_26-139	PUM102501	P060112	Pure Michigen	RETEST	retest 1	14.08.2026	17.02.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-139_P060112_PUM_Pure_Michigen_Retest_1.html
iCoA-PP_26-140	SCR112501	P060282	Scrambler	RETEST	retest 1	14.08.2026	18.05.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-140_P060282_SCR_Scrambler_Retest_1.html
iCoA-PP_26-141	SJ0925021	P060082	Sleepy Joe	RETEST	retest 1	14.08.2026	02.02.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-141_P060082_SJ_Sleepy_Joe_Retest_1.html
iCoA-PP_26-142	WC082501	P060012	Wedding Crusher	RETEST	retest 1	14.08.2026	13.01.2026	17.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-142_P060012_WC_Wedding_Crusher_Retest_1.html
iCoA-PP_26-143	BSS1024_01/2	P050142	Blue Sunset Sherbet	RETEST	retest 2	19.08.2026	30.09.2025	24.08.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-143_P050142_BSS_Blue_Sunset_Sherbet_Retest_2.html
