Purely Plant — Batch QC Testing Results Register
"One row per batch · consolidated from eCoA_DATABASE (291 certificates, complete mirror of the ingestion folder) · CoQ-forming value = latest release-type result from a laboratory scoped for the parameter · stability results excluded · values exactly as printed on the certificate; units in headers only · built 27.08.2026"

No.,Production,Tranche,Batch No. (cultivation),P-number,Strain,Product code,CoQ doc. code (proposed),First result,Latest result,# eCoAs,Total Δ9-THC [%],Total CBD [%],Total CBN [%],Loss on Drying [%],Foreign Matter [%],Macroscopic ID,Microscopic ID,Identification (HPTLC),TAMC [CFU/g],TYMC [CFU/g],Bile-tolerant GNB [CFU/g],Salmonella [/25 g],E. coli [/1 g],Total Aflatoxins [µg/kg],Aflatoxin B1 [µg/kg],Ochratoxin A [µg/kg],Lead (Pb) [mg/kg],Cadmium (Cd) [mg/kg],Arsenic (As) [mg/kg],Mercury (Hg) [mg/kg],Pesticide Residues
,,,,,,A.C. →,,,,,per target grade (QCSP 001 §01),≤ 1.0,≤ 1.0,≤ 12.0,≤ 2.0,Conforms to description,Conforms to description,Identity confirmed,≤ 10^5,≤ 10^4,≤ 10^4,Absence /25 g,Absence /1 g,≤ 4,≤ 2,≤ 20,≤ 0.5,≤ 0.3,≤ 0.2,≤ 0.1,≤ LOQ (Ph. Eur. 2.8.13)
37,,1,CJ082501-2,P060032,Cap Junky,CAYN CK 20/1,,20.01.2026,10.08.2026,6,18.29,0.08,< LOQ,7.37,Confirms,,,Confirms,"9,5 х 10^2 CFU/g","1,2 х 10^3 CFU/g",<10,Одговара,Одговара,< 2,ND,ND,"0,073",Н.Д.,н.д.,н.д.,Н.д.
38,2025-08,2,CJ082501/1,P060022,Cap Junky,CJ_THC22.5:CBD1,CoQ-PP-2026-0039,20.01.2026,20.02.2026,4,24.96,0.09,0.02,7.21,Confirms,,Confirms,Confirms,"1,5 x 10^2","1,3 x 10^2",<10,Одговара,Одговара,< 2,N.D.,N.D.,"0,075",N.D.,N.D.,N.D.,N.D.
39,2025-09,2,CJ092501,P060072,Cap Junky,CJ_THC22.5:CBD1,CoQ-PP-2026-0042,20.01.2026,20.02.2026,4,22.30,0.10,ND,7.64,Confirms,,,,< 10 CFU/g,< 10 CFU/g,,Absent,Absent,< 2,Н.Д.,Н.Д.,"0,04",Н.д.,Н.д.,"0,004",Н.д.
40,2025-09,2,GP092501,P060092,Grape Pie,GP_THC24:CBD1,CoQ-PP-2026-0038,20.01.2026,20.02.2026,4,25.73,0.11,ND,6.91,Confirms,,Confirms,Confirms,1 x 10²,< 10,<10,Одговара,Одговара,< 2,Н.Д.,Н.Д.,"0,022",Н.Д.,Н.Д.,"0,007",Н.Д.
41,2025-09,2,OPM092501,P060042,Orange Punch Mimosa,OPM_THC10:CBD1,CoQ-PP-2026-0043,20.01.2026,20.02.2026,4,9.43,BLQ,ND,7.85,Confirms,,,,10 CFU/g,10 CFU/g,,Одговара,Одговара,"2,2",Н.Д.,Н.Д.,"0,022",Н.д.,Н.д.,Н.д.,Н.д.
42,,1,PM092501,P060062,Permanent Market,STEADY F1 12/1,,20.01.2026,10.08.2026,6,12.25,<LOQ,<LOQ,7.97,Confirms,,Confirms,Confirms,2 x 10^3 CFU/g,"2,2 x 10^3 CFU/g",< 10 CFU/g,Одговара,Одговара,< 2,ND,ND,"0,03",Н.Д.,Н.Д.,Н.Д.,Одговара
43,2025-09,2,SJ092501,P060082,Sleepy Joy,SJ_THC10.5:CBD1,CoQ-PP-2026-0045,20.01.2026,20.02.2026,4,10.96,0.07,BLQ,8.68,Confirms,,Confirms,Confirms,< 10 CFU/g,< 10 CFU/g,<10,– отсутна/25 g,– отсутна/g,2,Н.Д.,Н.Д.,"0,08",Н.Д.,Н.Д.,"0,003",Н.Д.
44,2025-08,2,WC082501,P060012,Wedding Crasher,WC_THC22.5:CBD1,CoQ-PP-2026-0041,20.01.2026,20.02.2026,4,21.67,0.08,0.02,7.50,Confirms,,Confirms,Confirms,10 CFU/g,30 CFU/g,< 10 CFU/g,Одговара,Одговара,< 2,N.D.,N.D.,н.д.,н.д.,н.д.,н.д.,н.д.
45,2025-10,2,GRC102501_2,P060182,Graps & Creme,GRC_THC12.5:CBD1,CoQ-PP-2026-0046,02.03.2026,04.03.2026,2,11.53,,<LOQ,"7,7",,,,,,,,,,,,,,,,,
46,2025-10,1,J31102501,P060152,Jokerz 31,J31_THC20:CBD1,CoQ-PP-2026-0047,02.03.2026,10.08.2026,4,17.32,,< LOQ,"6,3",,,,,,,,,,,,,,,,,
