Seq,CoQ number,CoQ type,Basis date,Issue date,Packaged lot,Cultivation batch,Strain,Grade,iCoA reference,№,Group,Parameter,Параметар,Method / reference,Acceptance criterion,Result,Source document,Document date,Issuing institution,Report series,Status,Performed by,Also on file
44,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,11.3,Heavy Metals | Тешки метали,Arsenic (As),Арсен (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,0.014,752/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,
45,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,11.4,Heavy Metals | Тешки метали,Mercury (Hg),Жива (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,0.005,752/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,
46,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,12,,Pesticide Residues,Остатоци од пестициди,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,N.D.,752/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,
47,CoQ-PP-2025-0003,initial release,11.03.2025,≥ 11.05.2026,GG1024,GG1024,Gorilla Glue,II,iCoA-PP-2025-0003,1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
48,CoQ-PP-2025-0003,initial release,11.03.2025,≥ 11.05.2026,GG1024,GG1024,Gorilla Glue,II,iCoA-PP-2025-0003,2,,Identification B · Microscopic,Идентиф. Б · Микроскопски,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
49,CoQ-PP-2025-0003,initial release,11.03.2025,≥ 11.05.2026,GG1024,GG1024,Gorilla Glue,II,iCoA-PP-2025-0003,3,,Identification C · HPLC/HPTLC,Идентиф. Ц · HPLC/HPTLC,Ph. Eur. 2.2.29 (3028),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,outside laboratory — the HPLC cannabinoid certificate discharges Ident C (Farmahem -K- or CNP); in-house iCoA P03 only where none exists,
50,CoQ-PP-2025-0003,initial release,11.03.2025,≥ 11.05.2026,GG1024,GG1024,Gorilla Glue,II,iCoA-PP-2025-0003,4,,Assay — Total Δ⁹-THC,Анализа — вкупен Δ⁹-THC,Ph. Eur. 2.2.29 (HPLC),Per grade of the potency specification of 15.09.2026 — no Total THC result on file,—,—,,,,not tested — no certificate covers it,,15.51 (220-9-К/26)
51,CoQ-PP-2025-0003,initial release,11.03.2025,≥ 11.05.2026,GG1024,GG1024,Gorilla Glue,II,iCoA-PP-2025-0003,5,,Assay — Total CBD,Анализа — вкупен CBD,Ph. Eur. 2.2.29 (HPLC) · CBD + CBDA x 0.877,"≤ 1.0%, w/w",—,—,,,,not tested — no certificate covers it,,<LOQ (220-9-К/26)
52,CoQ-PP-2025-0003,initial release,11.03.2025,≥ 11.05.2026,GG1024,GG1024,Gorilla Glue,II,iCoA-PP-2025-0003,6,,Total CBN,Вкупен CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",—,—,,,,not tested — no certificate covers it,,<LOQ (220-9-К/26)
53,CoQ-PP-2025-0003,initial release,11.03.2025,≥ 11.05.2026,GG1024,GG1024,Gorilla Glue,II,iCoA-PP-2025-0003,7,,Foreign Matter,Страни материи,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
54,CoQ-PP-2025-0003,initial release,11.03.2025,≥ 11.05.2026,GG1024,GG1024,Gorilla Glue,II,iCoA-PP-2025-0003,8,,Loss on Drying,Губиток при сушење,"Ph. Eur. 2.2.32 (3028) · at 40 °C, 24 h, 15–25 mbar",≤ 12.0%,76.07 %,ППК25008,29.01.2025,CNP,read 09.09.2026,OUT OF SPECIFICATION,,
