key,cu_batch,p_batch,series,coq_code,issue_date,rule_date,icoa_ref,icoa_issue_date,issuable
P050182|I,HPA052501,P050182,initial release,CoQ-PP_26-024,27.05.2026,27.05.2026,iCoA-PP_26-024,15.05.2026,yes
P050192|I,BSS052501,P050192,initial release,CoQ-PP_26-025,27.05.2026,27.05.2026,iCoA-PP_26-025,15.05.2026,yes
P050202|I,GP062501,P050202,initial release,CoQ-PP_26-026,27.05.2026,27.05.2026,iCoA-PP_26-026,15.05.2026,yes
P050212|I,CJ062501/2,P050212,initial release,CoQ-PP_26-027,27.05.2026,27.05.2026,iCoA-PP_26-027,15.05.2026,yes
P050222|I,CJ062501/1,P050222,initial release,CoQ-PP_26-028,27.05.2026,27.05.2026,iCoA-PP_26-028,15.05.2026,yes
P050252|I,CJ072501,P050252,initial release,CoQ-PP_26-029,27.05.2026,27.05.2026,iCoA-PP_26-029,15.05.2026,yes
P050262|I,WC072501,P050262,initial release,CoQ-PP_26-030,27.05.2026,27.05.2026,iCoA-PP_26-030,15.05.2026,yes
P050272|I,PM072501,P050272,initial release,CoQ-PP_26-031,27.05.2026,27.05.2026,iCoA-PP_26-031,15.05.2026,yes
P050282|I,CLE072501,P050282,initial release,CoQ-PP_26-032,27.05.2026,27.05.2026,iCoA-PP_26-032,15.05.2026,yes
P050292|I,GP072501/1,P050292,initial release,CoQ-PP_26-033,27.05.2026,27.05.2026,iCoA-PP_26-033,15.05.2026,yes
P050302|I,GP072501/2,P050302,initial release,CoQ-PP_26-034,27.05.2026,27.05.2026,iCoA-PP_26-034,15.05.2026,yes
P050312|I,GP082501/1,P050312,initial release,CoQ-PP_26-035,27.05.2026,27.05.2026,iCoA-PP_26-035,15.05.2026,yes
P050322|I,GP082501/2,P050322,initial release,CoQ-PP_26-036,27.05.2026,27.05.2026,iCoA-PP_26-036,15.05.2026,yes
P060012|I,WC082501,P060012,initial release,CoQ-PP_26-037,27.05.2026,27.05.2026,iCoA-PP_26-037,15.05.2026,yes
P060022|I,CJ082501/1,P060022,initial release,CoQ-PP_26-038,27.05.2026,27.05.2026,iCoA-PP_26-038,15.05.2026,yes
P060032|I,CJ082501/2,P060032,initial release,CoQ-PP_26-039,27.05.2026,27.05.2026,iCoA-PP_26-039,15.05.2026,yes
